Tijdstip,Waterstand,Locatie,Afstand,Lijnen,positie
,0.0,Eijsden grens,561.1,Jaarlijks,t.o.v. Jaarlijks
,0.0,Sint Pieter noord,8805.2,Jaarlijks,t.o.v. Jaarlijks
,0.0,Borgharen Julianakanaal,12740.5,Jaarlijks,t.o.v. Jaarlijks
,0.0,Borgharen Dorp,13967.8,Jaarlijks,t.o.v. Jaarlijks
,0.0,Lanaken,16309.7,Jaarlijks,t.o.v. Jaarlijks
,0.0,Uikhoven,22780.7,Jaarlijks,t.o.v. Jaarlijks
,0.0,Elsloo,27347.2,Jaarlijks,t.o.v. Jaarlijks
,0.0,Eisden Mazenhove,32756.1,Jaarlijks,t.o.v. Jaarlijks
,0.0,Meeswijk veer,36949.9,Jaarlijks,t.o.v. Jaarlijks
,0.0,Negenoord-Oost,40483.0,Jaarlijks,t.o.v. Jaarlijks
,0.0,Rotem Maas,42969.1,Jaarlijks,t.o.v. Jaarlijks
,0.0,Maaseik,50804.8,Jaarlijks,t.o.v. Jaarlijks
,0.0,Stevensweert,59675.3,Jaarlijks,t.o.v. Jaarlijks
,0.0,Heel boven,67711.7,Jaarlijks,t.o.v. Jaarlijks
,0.0,Linne beneden,69714.7,Jaarlijks,t.o.v. Jaarlijks
,0.0,Roermond boven,78909.0,Jaarlijks,t.o.v. Jaarlijks
,0.0,Buggenum,82689.4,Jaarlijks,t.o.v. Jaarlijks
,0.0,Neer,86393.6,Jaarlijks,t.o.v. Jaarlijks
,0.0,Belfeld boven,96970.5,Jaarlijks,t.o.v. Jaarlijks
,0.0,Belfeld beneden,98910.3,Jaarlijks,t.o.v. Jaarlijks
,0.0,Venlo,103699.2,Jaarlijks,t.o.v. Jaarlijks
,0.0,Well Dorp,128130.7,Jaarlijks,t.o.v. Jaarlijks
,0.0,Sambeek boven,140921.3,Jaarlijks,t.o.v. Jaarlijks
,0.0,Sambeek beneden,143632.8,Jaarlijks,t.o.v. Jaarlijks
,0.0,Gennep,149547.2,Jaarlijks,t.o.v. Jaarlijks
,0.0,Mook,160239.1,Jaarlijks,t.o.v. Jaarlijks
